"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount","adj_factor","adjust"
"601988.SH","20250707","5.591029","5.630265","5.561603","5.620456","5.591029","0.029426","0.526316","1877332.700000","1072274.822000","2.534600","qfq"
"601988.SH","20250708","5.610647","5.640074","5.581221","5.600838","5.620456","-0.019618","-0.349040","1801058.360000","1029121.014000","2.534600","qfq"
"601988.SH","20250709","5.610647","5.708735","5.591029","5.669500","5.600838","0.068662","1.225919","3492826.520000","2018853.300000","2.534600","qfq"
"601988.SH","20250710","5.679309","5.767588","5.669500","5.708735","5.669500","0.039235","0.692042","2801539.690000","1636781.875000","2.534600","qfq"
"601988.SH","20250711","5.718544","5.787206","5.581221","5.581221","5.708735","-0.127515","-2.233677","5043114.750000","2922940.530000","2.534600","qfq"
"601988.SH","20250714","5.591029","5.728353","5.591029","5.640074","5.581221","0.058853","1.054482","3464429.590000","2001520.131000","2.534600","qfq"
"601988.SH","20250715","5.659691","5.679309","5.591029","5.591029","5.640074","-0.049044","-0.869565","2108167.610000","1210607.330000","2.534600","qfq"
"601988.SH","20250716","5.591029","5.620456","5.551794","5.600838","5.591029","0.009809","0.175439","2215049.720000","1260792.019000","2.534600","qfq"
"601988.SH","20250717","5.600838","5.620456","5.551794","5.561603","5.600838","-0.039235","-0.700525","1761573.070000","1001183.589000","2.534600","qfq"
"601988.SH","20250718","5.561603","5.610647","5.532176","5.581221","5.561603","0.019618","0.352734","1827813.000000","1040368.068000","2.534600","qfq"
"601988.SH","20250721","5.581221","5.600838","5.522368","5.541985","5.581221","-0.039235","-0.702988","2451637.310000","1386029.904000","2.534600","qfq"
"601988.SH","20250722","5.532176","5.541985","5.443897","5.473324","5.541985","-0.068662","-1.238938","3913312.180000","2182999.163000","2.534600","qfq"
"601988.SH","20250723","5.453706","5.571412","5.453706","5.522368","5.473324","0.049044","0.896057","3820410.390000","2153377.537000","2.534600","qfq"
"601988.SH","20250724","5.532176","5.551794","5.453706","5.453706","5.522368","-0.068662","-1.243339","3468702.970000","1941424.781000","2.534600","qfq"
"601988.SH","20250725","5.453706","5.483132","5.414471","5.424279","5.453706","-0.029426","-0.539568","2510283.300000","1393596.969000","2.534600","qfq"
"601988.SH","20250728","5.434088","5.463515","5.414471","5.424279","5.424279","0.000000","0.000000","2125063.900000","1177941.753000","2.534600","qfq"
"601988.SH","20250729","5.443897","5.463515","5.385044","5.385044","5.424279","-0.039235","-0.723327","2456275.770000","1355992.558000","2.534600","qfq"
"601988.SH","20250730","5.385044","5.463515","5.365426","5.424279","5.385044","0.039235","0.728597","3043038.590000","1682104.358000","2.534600","qfq"
"601988.SH","20250731","5.424279","5.463515","5.345809","5.443897","5.424279","0.019618","0.361664","3722105.780000","2050079.188000","2.534600","qfq"
"601988.SH","20250801","5.434088","5.463515","5.394853","5.443897","5.443897","0.000000","0.000000","2815246.600000","1559597.273000","2.534600","qfq"
"601988.SH","20250804","5.434088","5.522368","5.424279","5.473324","5.443897","0.029426","0.540541","3282292.750000","1834910.401000","2.534600","qfq"
"601988.SH","20250805","5.463515","5.551794","5.443897","5.541985","5.473324","0.068662","1.254480","3208842.330000","1802682.589000","2.534600","qfq"
"601988.SH","20250806","5.541985","5.571412","5.512559","5.551794","5.541985","0.009809","0.176991","2422622.230000","1370569.226000","2.534600","qfq"
"601988.SH","20250807","5.551794","5.610647","5.512559","5.610647","5.551794","0.058853","1.060071","3031452.720000","1725625.625000","2.534600","qfq"
"601988.SH","20250808","5.600838","5.630265","5.561603","5.561603","5.610647","-0.049044","-0.874126","2323624.710000","1323692.634000","2.534600","qfq"
"601988.SH","20250811","5.561603","5.571412","5.483132","5.512559","5.561603","-0.049044","-0.881834","2586005.910000","1453056.416000","2.534600","qfq"
"601988.SH","20250812","5.512559","5.571412","5.502750","5.551794","5.512559","0.039235","0.711744","2464794.820000","1393801.471000","2.534600","qfq"
"601988.SH","20250813","5.551794","5.581221","5.473324","5.473324","5.551794","-0.078471","-1.413428","3468750.280000","1948540.058000","2.534600","qfq"
"601988.SH","20250814","5.473324","5.512559","5.453706","5.463515","5.473324","-0.009809","-0.179211","2292180.330000","1281571.424000","2.534600","qfq"
"601988.SH","20250815","5.473324","5.473324","5.316382","5.345809","5.463515","-0.117706","-2.154399","6409229.340000","3499329.743000","2.534600","qfq"
"601988.SH","20250818","5.336000","5.355618","5.296765","5.345809","5.345809","0.000000","0.000000","3506009.920000","1907307.304000","2.534600","qfq"
"601988.SH","20250819","5.345809","5.483132","5.336000","5.453706","5.345809","0.107897","2.018349","4400871.130000","2430443.192000","2.534600","qfq"
"601988.SH","20250820","5.463515","5.620456","5.453706","5.561603","5.453706","0.107897","1.978417","5845799.830000","3309866.723000","2.534600","qfq"
"601988.SH","20250821","5.571412","5.620456","5.512559","5.600838","5.561603","0.039235","0.705467","3973311.410000","2263421.584000","2.534600","qfq"
"601988.SH","20250822","5.600838","5.610647","5.532176","5.591029","5.600838","-0.009809","-0.175131","3293471.950000","1871201.844000","2.534600","qfq"
"601988.SH","20250825","5.581221","5.591029","5.532176","5.571412","5.591029","-0.019618","-0.350877","3163097.910000","1793266.507000","2.534600","qfq"
"601988.SH","20250826","5.561603","5.591029","5.541985","5.551794","5.571412","-0.019618","-0.352113","2217983.550000","1258560.252000","2.534600","qfq"
"601988.SH","20250827","5.541985","5.551794","5.443897","5.443897","5.551794","-0.107897","-1.943463","2861512.870000","1601354.358000","2.534600","qfq"
"601988.SH","20250828","5.443897","5.473324","5.394853","5.424279","5.443897","-0.019618","-0.360360","2985043.120000","1651514.188000","2.534600","qfq"
"601988.SH","20250829","5.434088","5.522368","5.404662","5.414471","5.424279","-0.009809","-0.180832","3397582.940000","1891118.032000","2.534600","qfq"
"601988.SH","20250901","5.424279","5.473324","5.385044","5.414471","5.414471","0.000000","0.000000","3406030.080000","1883895.130000","2.534600","qfq"
"601988.SH","20250902","5.414471","5.522368","5.394853","5.522368","5.414471","0.107897","1.992754","4500408.230000","2514316.870000","2.534600","qfq"
"601988.SH","20250903","5.522368","5.522368","5.414471","5.443897","5.522368","-0.078471","-1.420959","3326813.610000","1852988.833000","2.534600","qfq"
