ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,adjust
603986.SH,20250707,118.807507,120.634854,117.689131,120.634854,118.677696,1.957158,1.649138,114584.950000,1370153.527000,5.647900,qfq
603986.SH,20250708,122.821679,123.320954,120.834564,121.533549,120.634854,0.898695,0.744971,151877.860000,1854823.191000,5.647900,qfq
603986.SH,20250709,120.734709,120.814593,119.117058,119.296797,121.533549,-2.236753,-1.840440,126056.420000,1512241.902000,5.647900,qfq
603986.SH,20250710,118.847449,119.696217,117.868870,117.888841,119.296797,-1.407956,-1.180213,111583.310000,1322615.181000,5.647900,qfq
603986.SH,20250711,117.729073,118.927333,117.199841,118.188406,117.888841,0.299565,0.254108,129774.020000,1537067.954000,5.647900,qfq
603986.SH,20250714,118.438044,119.027188,117.289711,117.419522,118.188406,-0.768884,-0.650558,112791.530000,1331566.268000,5.647900,qfq
603986.SH,20250715,116.930233,117.389566,113.834727,114.833277,117.419522,-2.586245,-2.202568,236202.590000,2718281.579000,5.647900,qfq
603986.SH,20250716,114.833277,116.231248,113.834727,114.074379,114.833277,-0.758898,-0.660870,158742.830000,1826208.291000,5.647900,qfq
603986.SH,20250717,113.884655,118.018653,113.654988,117.818943,114.074379,3.744563,3.282563,241275.420000,2805867.152000,5.647900,qfq
603986.SH,20250718,117.689131,120.125594,116.061494,116.990146,117.818943,-0.828797,-0.703449,203233.080000,2391314.587000,5.647900,qfq
603986.SH,20250721,116.650639,117.359609,115.232697,116.940218,116.990146,-0.049928,-0.042677,115943.940000,1350683.002000,5.647900,qfq
603986.SH,20250722,116.800421,117.159899,115.632118,115.702016,116.940218,-1.238202,-1.058834,143927.330000,1672922.189000,5.647900,qfq
603986.SH,20250723,115.602161,118.188406,115.332552,116.820392,115.702016,1.118376,0.966601,149110.760000,1741699.657000,5.647900,qfq
603986.SH,20250724,116.430958,117.828928,114.973074,117.719088,116.820392,0.898695,0.769297,172253.980000,2011696.442000,5.647900,qfq
603986.SH,20250725,117.729073,121.823129,117.729073,121.763216,117.719088,4.044128,3.435406,356933.760000,4286282.667000,5.647900,qfq
603986.SH,20250728,121.823129,122.022839,119.536449,120.085652,121.763216,-1.677564,-1.377727,191011.970000,2302878.681000,5.647900,qfq
603986.SH,20250729,119.826029,121.323854,119.226898,120.105623,120.085652,0.019971,0.016631,169940.650000,2042850.877000,5.647900,qfq
603986.SH,20250730,123.880143,129.482009,123.131230,123.810244,120.105623,3.704621,3.084470,472987.440000,5957278.630000,5.647900,qfq
603986.SH,20250731,120.824579,126.616170,120.105623,120.954390,123.810244,-2.855854,-2.306638,308747.730000,3788904.668000,5.647900,qfq
603986.SH,20250801,120.325304,121.922984,116.920247,117.139928,120.954390,-3.814462,-3.153637,247813.480000,2946052.922000,5.647900,qfq
603986.SH,20250804,116.131393,120.025739,116.131393,118.667710,117.139928,1.527782,1.304237,160782.640000,1902328.181000,5.647900,qfq
603986.SH,20250805,118.827478,119.127043,117.129943,117.828928,118.667710,-0.838782,-0.706833,124850.550000,1471568.918000,5.647900,qfq
603986.SH,20250806,117.828928,118.477986,116.840363,118.108522,117.828928,0.279594,0.237288,114485.670000,1349530.061000,5.647900,qfq
603986.SH,20250807,117.808957,119.027188,117.149914,117.499406,118.108522,-0.609116,-0.515725,169940.880000,2007916.589000,5.647900,qfq
603986.SH,20250808,117.509392,117.509392,116.231248,116.231248,117.499406,-1.268159,-1.079290,121513.000000,1418055.203000,5.647900,qfq
603986.SH,20250811,116.620682,118.328203,116.311132,117.779001,116.231248,1.547753,1.331615,127981.730000,1508912.168000,5.647900,qfq
